Connection Count,Handshake Duration (s),TCP Ending Handshake Timestamp (s),Version 1 Timestamp (s),Version 1 Bytes,Version 2 Timestamp (s),Version 2 Bytes,Verack 1 Timestamp (s),Verack 1 Bytes,Verack 2 Timestamp (s),Verack 2 Bytes
8932,0.046694040298462,1661153208.08051,1661153208.03381,168,1661153208.03421,168,1661153208.0344,90,1661153208.08051,90
8933,0.009881019592285,1661153213.56913,1661153213.55925,168,1661153213.56026,168,1661153213.56036,114,1661153213.56913,90
8934,0.002571105957031,1661153219.08758,1661153219.08501,168,1661153219.08544,168,1661153219.08561,90,1661153219.08758,90
8935,0.019769906997681,1661153224.66115,1661153224.64138,168,1661153224.64213,168,1661153224.6423,90,1661153224.66115,90
8936,0.027342081069946,1661153230.21576,1661153230.18842,168,1661153230.18939,168,1661153230.18956,90,1661153230.21576,90
8937,0.045226097106934,1661153235.80517,1661153235.75994,168,1661153235.76026,168,1661153235.7604,90,1661153235.80517,90
8938,0.013402938842774,1661153241.31316,1661153241.29976,168,1661153241.30031,168,1661153241.30048,90,1661153241.31316,90
8939,0.003467082977295,1661153246.85668,1661153246.85322,168,1661153246.85371,168,1661153246.85387,114,1661153246.85668,90
8940,0.006494045257568,1661153252.42943,1661153252.42294,168,1661153252.42361,168,1661153252.42375,90,1661153252.42943,90
8941,0.050481081008911,1661153258.00458,1661153257.9541,168,1661153257.95468,168,1661153257.95483,114,1661153258.00458,90
8942,0.020655870437622,1661153263.49762,1661153263.47696,168,1661153263.47757,168,1661153263.47782,90,1661153263.49762,90
8943,0.044890880584717,1661153269.08398,1661153269.03909,168,1661153269.0397,168,1661153269.03984,114,1661153269.08398,90
8944,0.046576976776123,1661153274.65916,1661153274.61259,168,1661153274.61319,168,1661153274.61342,90,1661153274.65916,90
8945,0.061739921569824,1661153280.24858,1661153280.18684,168,1661153280.18739,168,1661153280.18755,90,1661153280.24858,114
8946,0.049948930740357,1661153285.81299,1661153285.76305,168,1661153285.76368,168,1661153285.76387,90,1661153285.81299,90
8947,0.060691833496094,1661153291.36818,1661153291.30749,168,1661153291.30825,168,1661153291.30844,90,1661153291.36818,90
8948,0.043116092681885,1661153296.89474,1661153296.85162,168,1661153296.85223,168,1661153296.85239,90,1661153296.89474,90
8949,0.04584002494812,1661153302.46046,1661153302.41462,168,1661153302.41554,168,1661153302.41568,114,1661153302.46046,90
8950,0.023775100708008,1661153307.97498,1661153307.95121,168,1661153307.95159,168,1661153307.9517,114,1661153307.97498,90
8951,0.006510972976685,1661153313.5021,1661153313.49559,168,1661153313.49614,168,1661153313.49632,90,1661153313.5021,90
8952,0.033116102218628,1661153319.0484,1661153319.01529,168,1661153319.01605,168,1661153319.0164,90,1661153319.0484,90
8953,0.067852020263672,1661153324.63853,1661153324.57068,168,1661153324.5711,168,1661153324.57127,114,1661153324.63853,114
8954,0.047676086425781,1661153330.17714,1661153330.12946,168,1661153330.12992,168,1661153330.13012,90,1661153330.17714,90
8955,0.017542839050293,1661153335.69414,1661153335.6766,168,1661153335.6771,168,1661153335.67734,90,1661153335.69414,114
8956,0.027075052261353,1661153341.24784,1661153341.22077,168,1661153341.22129,168,1661153341.22145,90,1661153341.24784,90
8957,0.001996994018555,1661153346.74134,1661153346.73935,168,1661153346.73995,168,1661153346.74018,90,1661153346.74134,90
8958,0.048994064331055,1661153352.32659,1661153352.2776,168,1661153352.27804,168,1661153352.2784,90,1661153352.32659,114
8959,0.014733076095581,1661153357.81582,1661153357.80108,168,1661153357.80152,168,1661153357.80164,114,1661153357.81582,90
8960,0.016762971878052,1661153363.33443,1661153363.31767,168,1661153363.31804,168,1661153363.31818,90,1661153363.33443,114
8961,0.024070024490357,1661153368.91586,1661153368.89179,168,1661153368.89247,168,1661153368.89265,90,1661153368.91586,114
8962,0.054546117782593,1661153374.49982,1661153374.44527,168,1661153374.44577,168,1661153374.44601,90,1661153374.49982,114
8963,0.050437927246094,1661153380.029,1661153379.97856,168,1661153379.97906,168,1661153379.97926,114,1661153380.029,90
8964,0.00578498840332,1661153385.51525,1661153385.50946,168,1661153385.5099,168,1661153385.5101,90,1661153385.51525,90
8965,0.025320053100586,1661153391.06925,1661153391.04393,168,1661153391.04452,168,1661153391.04471,90,1661153391.06925,90
8966,0.004655838012695,1661153396.61183,1661153396.60718,168,1661153396.60777,168,1661153396.60796,90,1661153396.61183,90
8967,0.007206916809082,1661153402.20499,1661153402.19778,168,1661153402.19867,168,1661153402.1988,114,1661153402.20499,114
8968,0.048237085342407,1661153407.76384,1661153407.71561,168,1661153407.71598,168,1661153407.71616,90,1661153407.76384,90
8969,0.014282941818237,1661153413.26092,1661153413.24664,168,1661153413.24771,168,1661153413.24796,90,1661153413.26092,90
8970,0.046014070510864,1661153418.84566,1661153418.79964,168,1661153418.80023,168,1661153418.80044,90,1661153418.84566,90
8971,0.018537998199463,1661153424.34332,1661153424.32478,168,1661153424.32544,168,1661153424.32556,90,1661153424.34332,90
8972,0.050275087356567,1661153429.90439,1661153429.85411,168,1661153429.85488,168,1661153429.85543,90,1661153429.90439,90
8973,0.015918016433716,1661153435.42511,1661153435.40919,168,1661153435.40986,168,1661153435.41014,90,1661153435.42511,90
